Character	Luminance
 	0.00000
!	0.01270
\"	0.00952
#	0.03223
$	0.02856
%	0.03857
&	0.04199
'	0.00562
(	0.01831
)	0.01855
*	0.01538
+	0.01270
,	0.00488
-	0.00391
.	0.00293
/	0.01733
0	0.03101
1	0.02197
2	0.02393
3	0.02539
4	0.02808
5	0.02588
6	0.02930
7	0.01880
8	0.03442
9	0.02930
:	0.00586
;	0.00830
<	0.01538
=	0.01270
>	0.01562
?	0.01953
@	0.05518
A	0.03027
B	0.03613
C	0.02148
D	0.03491
E	0.02588
F	0.02246
G	0.03247
H	0.03369
I	0.01465
J	0.01660
K	0.03003
L	0.01807
M	0.05273
N	0.04102
O	0.03369
P	0.02734
Q	0.03784
R	0.03271
S	0.02466
T	0.02051
U	0.03125
V	0.02563
W	0.04736
X	0.02759
Y	0.02051
Z	0.02441
[	0.01611
\\	0.01733
]	0.02271
^	0.01465
_	0.00781
`	0.00317
a	0.02539
b	0.03223
c	0.01709
d	0.03198
e	0.02466
f	0.02051
g	0.03174
h	0.02979
i	0.01318
j	0.01855
k	0.02808
l	0.01611
m	0.03760
n	0.02466
o	0.02441
p	0.03125
q	0.03125
r	0.01367
s	0.01855
t	0.01831
u	0.02417
v	0.01880
w	0.03394
x	0.02051
y	0.02246
z	0.01733
{	0.01758
|	0.02051
}	0.02002
~	0.01025
