Character	Luminance
 	0.00000
!	0.01782
\"	0.01440
#	0.06543
$	0.05786
%	0.04175
&	0.04932
'	0.00586
(	0.02612
)	0.02612
*	0.02173
+	0.01685
,	0.00537
-	0.00708
.	0.00293
/	0.02002
0	0.04175
1	0.02441
2	0.03467
3	0.03613
4	0.03833
5	0.04492
6	0.03955
7	0.03076
8	0.04834
9	0.04272
:	0.00537
;	0.00757
<	0.01416
=	0.01758
>	0.01465
?	0.02539
@	0.07373
A	0.04199
B	0.05151
C	0.03540
D	0.04468
E	0.04688
F	0.03687
G	0.04736
H	0.04590
I	0.03467
J	0.03516
K	0.04492
L	0.02637
M	0.07129
N	0.05273
O	0.04761
P	0.03613
Q	0.06494
R	0.04980
S	0.04224
T	0.02930
U	0.03882
V	0.03320
W	0.06494
X	0.04468
Y	0.03418
Z	0.05054
[	0.03003
\\	0.01929
]	0.03003
^	0.01270
_	0.01611
`	0.00732
a	0.03003
b	0.04053
c	0.02441
d	0.04053
e	0.03296
f	0.02954
g	0.04346
h	0.03613
i	0.01392
j	0.02588
k	0.03687
l	0.01978
m	0.04443
n	0.02808
o	0.02832
p	0.03857
q	0.03882
r	0.02100
s	0.03052
t	0.02246
u	0.02783
v	0.02002
w	0.04077
x	0.02954
y	0.02930
z	0.02808
{	0.03027
|	0.02344
}	0.03027
~	0.01538
