Character	Luminance
 	0.00000
!	0.00977
\"	0.01025
#	0.01611
$	0.02881
%	0.03369
&	0.03833
'	0.00513
(	0.01538
)	0.01538
*	0.01465
+	0.00806
,	0.00464
-	0.00586
.	0.00220
/	0.00537
0	0.02588
1	0.01782
2	0.02075
3	0.01807
4	0.02417
5	0.02173
6	0.02441
7	0.02002
8	0.02979
9	0.02588
:	0.00439
;	0.00684
<	0.00854
=	0.00781
>	0.00854
?	0.01465
@	0.04492
A	0.02515
B	0.03809
C	0.02173
D	0.03638
E	0.03003
F	0.02588
G	0.03101
H	0.04126
I	0.01929
J	0.01929
K	0.03564
L	0.02295
M	0.04492
N	0.02759
O	0.02832
P	0.02954
Q	0.03394
R	0.03882
S	0.02734
T	0.02368
U	0.02515
V	0.02295
W	0.04224
X	0.03003
Y	0.02393
Z	0.02515
[	0.02173
\\	0.00537
]	0.02173
^	0.00537
_	0.00391
`	0.00244
a	0.02148
b	0.02856
c	0.01709
d	0.03003
e	0.01831
f	0.02148
g	0.02783
h	0.02979
i	0.01392
j	0.01929
k	0.02759
l	0.01758
m	0.03711
n	0.02417
o	0.01978
p	0.02905
q	0.02832
r	0.01465
s	0.01538
t	0.01562
u	0.02344
v	0.01343
w	0.02588
x	0.01782
y	0.01904
z	0.01685
{	0.01831
|	0.00708
}	0.01855
~	0.00488
